title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
ELDEN RING NIGHTREIGN,2622380,Game,"FromSoftware, Inc.","FromSoftware, Inc. , Bandai Namco Entertainment",Windows,"EasyAntiCheat AntiCheat , EpicOnlineServices SDK",31876031,24 October 2025 – 06:43:03 UTC ( ),29 May 2025 – 21:59:05 UTC ( ),81.16,145833,,1,0,0,0,0,0,0,0,0,0,2025-10-25T17:33:11.702534,https://steamdb.info/app/2622380/charts/
ARK: Survival Evolved,346110,Game,"Studio Wildcard , Instinct Games , Efecto Studios , Virtual Basement LLC","Studio Wildcard , Snail Games USA",Windows macOS,"BattlEye AntiCheat , Unreal Engine , EpicOnlineServices SDK",31803238,20 October 2025 – 21:24:45 UTC ( ),29 August 2017 – 15:08:00 UTC ( ),83.37,749639,,1,0,1,0,1,1,0,0,0,0,2025-10-25T17:33:22.078934,https://steamdb.info/app/346110/charts/
Left 4 Dead 2,550,Game,Valve,Valve,Windows macOS Linux,Source Engine,28969249,13 May 2025 – 22:20:27 UTC ( ),17 November 2009 – 05:00:00 UTC ( ),97.53,993903,,1,1,1,0,0,0,0,0,0,0,2025-10-25T17:33:31.565014,https://steamdb.info/app/550/charts/
Once Human,2139460,Game,Starry Studio,Starry Studio,Windows,NeoX Engine,31896873,25 October 2025 – 08:31:09 UTC ( ),9 July 2024 – 20:00:35 UTC ( ),76.42,153446,,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:33:53.183196,https://steamdb.info/app/2139460/charts/
EA SPORTS FC 25,2669320,Game,"EA Canada , EA Romania",Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Frostbite Engine , EA_App Launcher",31867167,23 October 2025 – 19:19:18 UTC ( ),27 September 2024 – 03:52:00 UTC ( ),51.66,97589,,1,0,0,1,0,0,0,0,0,0,2025-10-25T17:34:01.735907,https://steamdb.info/app/2669320/charts/
Age of Empires II: Definitive Edition,813780,Game,"World's Edge , Forgotten Empires , CaptureAge , Tantalus Media , Wicked Witch",Xbox Game Studios,Windows,,31893270,25 October 2025 – 00:18:38 UTC ( ),14 November 2019 – 16:00:00 UTC ( ),94.85,168199,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:34:10.131311,https://steamdb.info/app/813780/charts/
Hunt: Showdown 1896,594650,Game,Crytek,Crytek,Windows,"EasyAntiCheat AntiCheat , CryEngine Engine , EpicOnlineServices SDK",31893624,25 October 2025 – 00:58:21 UTC ( ),27 August 2019 – 12:30:00 UTC ( ),73.13,257281,,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:34:18.831051,https://steamdb.info/app/594650/charts/
Satisfactory,526870,Game,Coffee Stain Studios,Coffee Stain Publishing,Windows,"Unreal Engine , EpicOnlineServices SDK",31893653,25 October 2025 – 01:00:29 UTC ( ),10 September 2024 – 14:59:00 UTC ( ),97.19,247338,,1,0,0,0,0,1,1,0,0,0,2025-10-25T17:34:29.676165,https://steamdb.info/app/526870/charts/
OBS Studio,1905180,Application,OBS Project,OBS Project,Windows macOS,,31871916,24 October 2025 – 00:55:35 UTC ( ),21 March 2022 – 18:02:00 UTC ( ),95.16,42592,,0,0,0,0,0,0,0,0,0,0,2025-10-25T17:34:39.211850,https://steamdb.info/app/1905180/charts/
Street Fighter™ 6,1364780,Game,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Windows,RE_Engine Engine,31876318,24 October 2025 – 07:04:20 UTC ( ),2 June 2023 – 07:00:00 UTC ( ),84.35,64649,,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:34:48.758991,https://steamdb.info/app/1364780/charts/
